,project,first_dates,last commit dates
0,camel,2007-03-19 10:54:57+00:00,2022-05-30 18:34:10+02:00
1,hive,2008-09-02 23:58:59+00:00,2022-05-27 08:48:19-07:00
2,commons-codec,2003-04-25 17:51:00+00:00,2022-05-22 07:49:51-04:00
3,commons-collections,2001-04-14 15:38:58+00:00,2022-05-26 12:10:32-04:00
4,commons-compress,2003-11-23 20:07:47+00:00,2022-05-24 16:49:33-04:00
5,commons-configuration,2003-12-23 15:09:04+00:00,2022-05-24 11:09:44-04:00
6,commons-crypto,2015-03-27 16:35:20+08:00,2022-05-21 12:18:00+01:00
7,commons-csv,2005-12-17 05:41:27+00:00,2022-05-22 07:57:45-04:00
8,commons-io,2002-01-25 19:06:14+00:00,2022-05-21 15:27:36-04:00
9,commons-weaver,2012-11-19 03:54:31+00:00,2022-02-25 08:24:51-05:00
10,fuse,2011-04-13 21:50:46+02:00,2022-02-03 15:54:52+01:00
11,metadata,2009-06-17 09:47:34+00:00,2022-05-17 18:40:29+05:30
12,wildfly-elytron,2011-06-20 13:31:15-05:00,2022-01-17 17:16:44-05:00
13,wildfly-swarm,2015-02-27 14:08:37-05:00,2020-12-02 09:41:09+01:00
14,wildfly-arquillian,2010-12-01 08:50:30-06:00,2022-05-27 13:32:28-07:00
15,wildfly-core,2010-05-28 12:22:57-05:00,2022-05-26 15:55:00+02:00
16,wildfly,2010-05-28 12:22:57-05:00,2022-05-27 16:37:25-07:00
17,wildfly-maven-plugin,2011-03-13 11:36:56-07:00,2022-05-18 10:44:46+02:00
18,spring-amqp,2010-06-29 22:16:39-04:00,2022-05-23 11:20:50-04:00
19,spring-android,2010-10-12 15:11:10-04:00,2022-04-04 10:46:42-07:00
20,spring-batch,2007-03-28 06:49:53+00:00,2022-05-25 23:06:48+02:00
21,spring-batch-admin,2009-10-30 12:04:25+00:00,2017-07-26 16:33:12-05:00
22,spring-data-commons,2010-06-10 16:50:23-04:00,2022-05-24 15:38:37+02:00
23,spring-data-neo4j,2015-02-17 10:46:13+00:00,2022-05-30 10:33:58+02:00
24,spring-data-jpa,2010-11-07 18:29:20+01:00,2022-05-25 10:43:53+02:00
25,spring-data-mongodb,2010-07-15 16:40:43-04:00,2022-05-16 12:55:12-07:00
26,spring-data-redis,2010-07-21 14:48:12-04:00,2022-05-24 15:18:26+02:00
27,spring-data-rest,2012-03-08 15:57:24-06:00,2021-04-13 08:45:54+02:00
28,spring-ldap,2006-12-18 19:04:02+00:00,2022-05-12 16:57:44-06:00
29,spring-mobile,2010-08-16 17:20:56-05:00,2022-04-04 11:02:57-07:00
30,spring-roo,2009-05-15 04:18:01+00:00,2021-11-18 15:49:20-08:00
31,spring-security,2004-03-16 23:57:17+00:00,2022-05-27 17:06:02-06:00
32,spring-security-oauth,2010-07-08 23:28:19+01:00,2022-04-20 21:48:36-04:00
33,spring-data-gemfire,2010-06-29 20:58:20+03:00,2021-04-20 14:49:11-05:00
34,spring-hadoop,2010-12-17 11:31:48+00:00,2022-04-04 11:02:51-07:00
35,spring-shell,2012-02-15 21:48:21-05:00,2022-05-30 14:13:20+01:00
36,spring-social,2010-08-16 17:04:49-05:00,2022-04-04 11:40:22-07:00
37,spring-social-facebook,2010-08-16 17:04:49-05:00,2022-04-04 11:40:26-07:00
38,spring-social-linkedin,2010-08-16 17:04:49-05:00,2022-04-04 11:40:33-07:00
39,spring-social-twitter,2010-08-16 17:04:49-05:00,2022-04-04 11:40:39-07:00
40,spring-webflow,2006-12-21 16:02:27+00:00,2021-05-26 09:46:24+01:00
41,spring-ws,2006-09-24 19:22:56+00:00,2022-03-21 12:34:58-05:00
