,Date,Number of Patches
0,2004-12-01,4
1,2005-06-01,55
2,2005-12-01,87
3,2006-06-01,144
4,2006-12-01,215
5,2007-06-01,265
6,2007-12-01,299
7,2008-06-01,324
8,2008-12-01,364
9,2009-06-01,450
10,2009-12-01,548
11,2010-06-01,600
12,2010-12-01,643
13,2011-06-01,730
14,2011-12-01,826
15,2012-06-01,928
16,2012-12-01,1012
17,2013-06-01,1112
18,2013-12-01,1174
19,2014-06-01,1285
20,2014-12-01,1445
21,2015-06-01,1516
22,2015-12-01,1577
23,2016-06-01,1655
24,2016-12-01,1711
25,2017-06-01,1765
26,2017-12-01,1815
27,2018-06-01,1889
28,2018-12-01,1977
29,2019-06-01,2054
30,2019-12-01,2140
31,2020-06-01,2216
32,2020-12-01,2306
33,2021-06-01,2375
34,2021-12-01,2434
35,2022-06-01,2489
