,Date,Number of Patches
0,2001-12-01,1
1,2002-06-01,6
2,2002-12-01,16
3,2003-06-01,20
4,2003-12-01,32
5,2004-06-01,44
6,2004-12-01,52
7,2005-06-01,53
8,2005-12-01,57
9,2006-06-01,59
10,2006-12-01,59
11,2007-06-01,61
12,2007-12-01,60
13,2008-06-01,64
14,2008-12-01,71
15,2009-06-01,79
16,2009-12-01,87
17,2010-06-01,89
18,2010-12-01,106
19,2011-06-01,119
20,2011-12-01,139
21,2012-06-01,173
22,2012-12-01,193
23,2013-06-01,210
24,2013-12-01,225
25,2014-06-01,234
26,2014-12-01,247
27,2015-06-01,259
28,2015-12-01,267
29,2016-06-01,286
30,2016-12-01,307
31,2017-06-01,315
32,2017-12-01,338
33,2018-06-01,362
34,2018-12-01,376
35,2019-06-01,382
36,2019-12-01,396
37,2020-06-01,419
38,2020-12-01,437
39,2021-06-01,446
40,2021-12-01,458
41,2022-06-01,471
