,Date,Number of Patches
0,2001-06-01,1
1,2001-12-01,1
2,2002-06-01,6
3,2002-12-01,12
4,2003-06-01,15
5,2003-12-01,28
6,2004-06-01,37
7,2004-12-01,42
8,2005-06-01,45
9,2005-12-01,48
10,2006-06-01,54
11,2006-12-01,57
12,2007-06-01,84
13,2007-12-01,118
14,2008-06-01,168
15,2008-12-01,224
16,2009-06-01,298
17,2009-12-01,368
18,2010-06-01,407
19,2010-12-01,503
20,2011-06-01,753
21,2011-12-01,1056
22,2012-06-01,1268
23,2012-12-01,1428
24,2013-06-01,1558
25,2013-12-01,1728
26,2014-06-01,1847
27,2014-12-01,1948
28,2015-06-01,2029
29,2015-12-01,2103
30,2016-06-01,2175
31,2016-12-01,2247
32,2017-06-01,2326
33,2017-12-01,2441
34,2018-06-01,2490
35,2018-12-01,2601
36,2019-06-01,2676
37,2019-12-01,2761
38,2020-06-01,2839
39,2020-12-01,2930
40,2021-06-01,2984
41,2021-12-01,3083
42,2022-06-01,3145
