Time,NR,NREF,NFIX,NAUTH,LOC_ADD_AVG,LOC_ADD_MAX,LOC_DEL_AVG,LOC_DEL_MAX,CHURN_AVG,CHURN_MAX,CHURN_MIN,LABEL
2005-06-01,2887,3.908908406524467,1138,16,78.0371012482663,6925,127.0253120665742,39468,-48.988210818307905,5459,-38123,True
2005-12-01,3665,2.9649122807017543,1156,25,69.74303659202621,42458,88.21108683779356,9387,-18.46805024576734,42458,-9387,True
2006-06-01,2922,3.5873568939771032,1184,26,352.065775950668,32314,394.2531688934567,32353,-42.18739294278863,4869,-6522,True
2006-12-01,2929,2.186558901682905,1268,26,17448.638414217363,191208,17430.94976076555,93912,17.688653451811348,106387,-43155,True
2007-06-01,2790,1.5035067048196151,4912,33,15106.016870064608,202213,15116.413854989232,202272,-10.396984924623116,48566,-48567,False
2007-12-01,2497,2.260359508041627,1115,42,65.85760128359406,16727,114.55274769354192,16047,-48.69514640994785,15089,-10634,True
2008-06-01,1731,1.616618982460505,1761,39,49.037637521713954,5533,91.504342790967,7720,-42.46670526925304,3712,-3633,True
2008-12-01,1921,2.203940004477278,1024,36,92.08085550339071,20244,137.08346374543558,24756,-45.002608242044865,20229,-24712,False
2009-06-01,3196,2.1076519996917624,2146,35,366.6033834586466,355066,495.7684837092732,355066,-129.16510025062658,355066,-355066,True
2009-12-01,2714,2.2025068546807676,1912,32,56.27970479704797,10288,117.34243542435425,27278,-61.06273062730627,6948,-27276,True
2010-06-01,2014,1.7932522123893806,1458,36,61.36734693877551,19136,120.07864609258337,11462,-58.711299153807865,19136,-5490,False
2010-12-01,2365,2.137230684781117,1776,45,91.71483050847458,68581,105.88601694915255,7350,-14.171186440677966,68581,-7323,False
2011-06-01,3244,1.9779608192341942,2549,63,611.3495985176035,155758,701.156578134651,160175,-89.80697961704756,155756,-160175,True
2011-12-01,3994,3.1144416778394945,3516,77,2022.5906696764484,109002,2087.927514421871,105322,-65.33684474542262,45283,-46317,True
2012-06-01,4771,2.1535384190922886,2437,84,2364.060466092799,255513,2425.782699979005,265406,-61.722233886206176,255513,-265406,False
2012-12-01,5446,2.706719984394811,2144,91,2065.1136447223244,99979,2105.8008458992276,99598,-40.68720117690327,74178,-73905,False
2013-06-01,5299,3.2257450252308866,3060,87,3450.5947835947836,221122,3515.6639576639577,221132,-65.06917406917407,221120,-221130,True
2013-12-01,4841,2.2911978821972205,1803,112,4612.2565694185805,216639,4645.154355472791,216627,-32.897786054210634,87667,-87748,True
2014-06-01,6086,2.579002883060263,3187,109,9660.02500822639,1385153,9734.745804540968,1385195,-74.72079631457716,1383954,-1383954,False
2014-12-01,6073,2.5543744489076126,4207,139,4895.357131079967,1513366,4968.420774938169,1513361,-73.06364385820281,1513079,-1513074,True
2015-06-01,5682,2.1949491838620263,3816,124,3375.5504053577724,279229,3386.942016214311,278882,-11.391610856538597,163464,-163393,False
2015-12-01,6032,2.252532022639261,2726,124,1627.777390438247,289847,1685.5620849933598,289870,-57.78469455511288,168972,-168969,True
2016-06-01,6308,2.1248836900172803,2705,120,1896.544834153309,1669389,1972.1058562132994,1669525,-75.56102205999048,1668803,-1668554,False
2016-12-01,6147,2.4559266619655107,3030,139,2355.7291530944626,272422,2426.777035830619,272083,-71.04788273615635,170448,-173540,True
2017-06-01,6256,2.1890726096333575,3560,139,1273.0401728553138,226323,1339.7792893725991,227192,-66.73911651728554,112567,-100314,False
2017-12-01,5308,1.9894098922624877,2287,130,2129.248679245283,270899,2193.9416981132076,299553,-64.69301886792452,103079,-122739,False
2018-06-01,4819,1.9880960253951458,3028,114,3177.881521513199,317003,3245.686967366452,299415,-67.80544585325296,137701,-122271,True
2018-12-01,4118,2.040124095139607,4331,123,3432.9656934306568,255531,3442.2659367396595,255587,-9.300243309002433,224126,-220712,False
2019-06-01,6096,1.6556003420056187,4205,113,2424.821123521682,222116,2538.0909986859397,222077,-113.26987516425756,50536,-82970,True
2019-12-01,6628,2.4380450984745172,11290,158,2379.052265861027,459270,2437.5052870090635,459130,-58.45302114803626,256018,-255999,False
2020-06-01,8793,2.5573428369614075,6474,147,1957.2486055776892,467576,1992.4454183266932,467544,-35.19681274900398,273989,-279495,False
2020-12-01,7424,2.609527172154059,4707,122,1899.2510787486515,474408,1993.6004584681768,474281,-94.34937971952534,246819,-246819,False
2021-06-01,6583,1.8672716273442227,4428,115,2933.588288973384,1355302,3016.4311787072243,1441561,-82.84288973384031,246065,-246063,True
2021-12-01,5632,2.20932307823057,4580,113,483.1200213371266,630813,482.90913940256047,636747,0.2108819345661451,206237,-206261,False
2022-06-01,6555,2.137995271190084,3600,109,1447.7125400946998,650414,1483.406903925462,650424,-35.69436383076218,202161,-202164,False
