Time,NR,NREF,NFIX,NAUTH,LOC_ADD_AVG,LOC_ADD_MAX,LOC_DEL_AVG,LOC_DEL_MAX,CHURN_AVG,CHURN_MAX,CHURN_MIN,LABEL
2002-06-01,231,2.7118055555555554,56,10,56.12663755458515,2550,130.9301310043668,3526,-74.80349344978166,425,-3054,True
2002-12-01,547,3.365234375,238,19,62.6243093922652,2210,194.6279926335175,10051,-132.0036832412523,1369,-10051,True
2003-06-01,522,2.2005494505494507,259,15,79.81976744186046,6100,284.718992248062,5928,-204.89922480620154,6083,-5924,True
2003-12-01,942,3.4634716540035067,766,20,158.6566844919786,40291,243.19251336898395,48169,-84.53582887700534,40291,-48169,True
2004-06-01,1081,2.8542162934730824,419,18,151.0,28864,201.90587138863,51272,-50.90587138863001,28864,-51272,False
2004-12-01,952,2.9521367521367523,467,13,72.14074074074074,5896,128.73227513227513,3233,-56.59153439153439,5883,-2379,True
2005-06-01,417,1.7054878048780489,143,19,59.205378973105134,12201,88.85819070904645,2741,-29.65281173594132,9460,-1424,False
2005-12-01,543,1.9790697674418605,227,20,79.01121495327102,9674,162.3177570093458,9704,-83.30654205607476,1179,-3177,False
2006-06-01,353,1.9979338842975207,145,21,78.81686046511628,9772,142.98546511627907,9872,-64.1686046511628,309,-3223,True
2006-12-01,366,1.5789245446660884,1590,14,412.1764705882353,92512,591.3361344537815,92512,-179.1596638655462,92512,-92512,False
2007-06-01,333,1.6530359355638167,156,21,243.34876543209876,18336,198.03395061728395,18324,45.31481481481482,9957,-9752,False
2007-12-01,1178,2.5928003740065453,510,19,309.2425021422451,22348,322.31876606683807,21509,-13.076263924592974,13570,-13000,False
2008-06-01,1408,2.8640880056777855,615,18,241.5662133142448,57923,257.0085898353615,57923,-15.442376521116678,57923,-57923,False
2008-12-01,1388,2.2082777036048062,430,20,365.3786337209302,24071,393.4149709302326,24084,-28.036337209302324,14787,-14885,True
2009-06-01,1810,2.7633684210526317,678,27,172.3407448582546,24175,228.67426347971096,39069,-56.33351862145636,15534,-39069,True
2009-12-01,1400,2.1930324276950044,733,27,130.59005763688762,55836,438.7348703170029,262656,-308.14481268011525,54690,-262656,True
2010-06-01,1006,2.324040404040404,767,29,72.80342741935483,19136,167.7046370967742,12859,-94.90120967741936,19136,-10454,False
2010-12-01,1148,2.9448656099241903,845,65,100.3726872246696,21814,153.55770925110133,24575,-53.18502202643172,21814,-24575,True
2011-06-01,1798,2.5272500778573654,617,78,153.44649859943976,168087,104.72324929971988,8845,48.72324929971989,168087,-8780,False
2011-12-01,2694,2.4126132170412613,807,90,103.88988428518104,43772,195.8734602463606,139213,-91.98357596117954,43772,-139190,True
2012-06-01,2077,2.0495622495919275,859,92,87.36796116504854,26665,216.73398058252428,65507,-129.36601941747574,26665,-57888,True
2012-12-01,2228,2.4670298165137616,1031,115,61.589059674502714,12796,109.88065099457505,12399,-48.291591320072335,8087,-12399,False
2013-06-01,2018,2.3798197295943915,691,90,178.12987012987014,183220,113.1983016983017,25159,64.93156843156844,183220,-25159,True
2013-12-01,2182,2.3493913493913494,960,58,39.020323325635104,7149,66.66327944572748,11565,-27.64295612009238,6047,-11565,False
2014-06-01,2252,2.9670818505338077,761,82,56.276957494407156,10665,121.03892617449664,50583,-64.76196868008948,5936,-50583,False
2014-12-01,2498,2.272340425531915,1159,114,236.40773569701852,114274,230.35012087026593,114269,6.057614826752618,112921,-96982,False
2015-06-01,2316,2.021866960676222,877,118,340.8529795563288,28963,350.5541539799913,28964,-9.701174423662462,25546,-15861,False
2015-12-01,2308,2.2043865991805256,944,134,237.1955477957224,46588,255.35050196420778,46588,-18.15495416848538,39353,-7802,False
2016-06-01,2843,2.227684596105649,914,137,586.3977353149328,116331,650.4504600141543,116329,-64.05272469922151,112713,-112502,False
2016-12-01,2894,3.0366416618580496,1113,88,443.6103580118179,104747,437.15641293013556,27210,6.453945081682308,104744,-14819,False
2017-06-01,2996,2.7589416952474277,1603,92,708.1530715005035,176099,722.3199060087278,176148,-14.166834508224236,29741,-22212,False
2017-12-01,2877,2.462647928994083,1083,73,619.113986013986,58174,842.1685314685315,564948,-223.05454545454546,33486,-564948,False
2018-06-01,2417,3.1924795234549515,770,53,1211.5429166666668,72333,1216.11875,72412,-4.575833333333334,48171,-33289,False
2018-12-01,1633,3.0789473684210527,723,56,683.7113720642769,68190,740.2873918417799,66557,-56.57601977750309,39296,-39965,False
2019-06-01,1647,2.709167544783983,623,71,1049.7179644389944,57569,1091.0557939914163,57647,-41.33782955242183,34565,-34641,False
2019-12-01,1840,2.3541666666666665,1136,38,3122.1151315789475,73622,3165.2319078947367,73508,-43.11677631578947,38234,-41572,True
2020-06-01,2288,1.2941068139963168,1648,64,49515.68912373404,6834439,53385.354909731395,6861926,-3869.665785997358,6806461,-6827327,False
2020-12-01,2476,1.871359627225828,954,60,44864.80008126778,6888522,45205.74969524583,6883176,-340.9496139780577,6848053,-6843524,True
2021-06-01,2228,2.0907494935854154,1156,41,30539.342224231466,7466806,30632.385171790236,7466782,-93.04294755877034,7430902,-7430906,False
2021-12-01,2088,2.1770023123817532,1111,33,2369.8112934362935,635544,2804.3880308880307,628323,-434.5767374517375,626888,-622868,False
2022-06-01,1539,1.9349333333333334,746,23,2908.896913985555,628210,3422.86014445174,626654,-513.9632304661851,623872,-622611,True
