Time,NR,NREF,NFIX,NAUTH,LOC_ADD_AVG,LOC_ADD_MAX,LOC_DEL_AVG,LOC_DEL_MAX,CHURN_AVG,CHURN_MAX,CHURN_MIN,LABEL
2001-12-01,21,1.394736842105263,0,5,46.1,378,189.35,1390,-143.25,1,-1284,True
2002-06-01,196,2.5972222222222223,41,10,36.68041237113402,2550,103.47422680412372,2550,-66.79381443298969,425,-1262,True
2002-12-01,291,3.2507462686567163,148,15,78.14583333333333,4776,218.49652777777777,4996,-140.35069444444446,4776,-4996,True
2003-06-01,336,1.9570871261378413,180,11,66.37764350453172,3393,317.3534743202417,5928,-250.97583081570997,3393,-5924,True
2003-12-01,680,3.4808094905792046,462,22,207.6552748885587,40291,301.6077265973254,48169,-93.95245170876672,40291,-48169,True
2004-06-01,1342,2.8468142792589246,411,26,112.0457614403601,28864,137.18004501125282,17764,-25.134283570892723,28864,-17764,True
2004-12-01,1543,2.071939736346516,539,31,34.73011734028683,4893,172.38917861799217,100891,-137.65906127770535,4893,-100891,True
2005-06-01,3429,3.4115203021718603,1284,34,72.48171980111144,6925,120.45305644925416,39468,-47.97133664814273,5459,-38123,True
2005-12-01,4200,2.7915492957746477,1343,44,68.01002386634845,42458,91.7909307875895,9387,-23.78090692124105,42458,-9387,True
2006-06-01,3555,3.280530628170113,1322,45,303.62697516930024,32314,346.54853273137695,32353,-42.92155756207675,4869,-6522,True
2006-12-01,3462,2.046429189002248,2204,40,14817.631594202898,191208,14809.560289855073,93912,8.071304347826088,106387,-43155,True
2007-06-01,4153,1.643440366972477,5984,61,10207.294416243654,202213,10236.234711143341,202272,-28.940294899685764,48566,-57531,False
2007-12-01,4871,2.0391022021456804,1779,71,141.19365471775856,39476,210.19798104655953,67766,-69.00432632880099,27747,-67588,True
2008-06-01,5513,2.031025653898288,2781,66,127.75600436681222,68656,159.0815138282387,40782,-31.325509461426492,68656,-40782,True
2008-12-01,4799,2.2427811280595957,2456,72,199.968410041841,66861,228.98347280334727,29345,-29.015062761506275,66861,-24712,True
2009-06-01,5926,2.219291299613976,3652,81,272.1521923142035,355066,384.3419671576096,355066,-112.18977484340613,355066,-355066,False
2009-12-01,4800,2.3453726219424973,2876,80,92.24173294265383,22599,228.72268731686898,262656,-136.48095437421514,21214,-262656,False
2010-06-01,4214,2.0088639462918283,3998,94,105.15950334288443,65448,229.365329512894,65448,-124.20582617000954,65448,-65448,False
2010-12-01,7517,2.5394283014410584,3946,168,341.1682267986092,347133,414.72532762770794,331008,-73.55710082909869,347113,-331004,True
2011-06-01,13281,2.9183323992776637,5382,215,333.4184922193685,155758,409.21664904064056,160175,-75.7981568212721,155756,-160175,True
2011-12-01,13559,2.70827500388863,7191,235,694.4113076296899,109002,782.1106342040997,139213,-87.69932657440982,45283,-139190,True
2012-06-01,13138,2.4756854490500864,5911,259,1038.4416685766673,255513,1111.7689663075864,265406,-73.3272977309191,255513,-265406,True
2012-12-01,11197,2.296954494064443,4738,279,1326.9040997577824,144700,1438.4316856553332,144716,-111.5275858975509,137914,-137942,True
2013-06-01,11611,2.409222042931886,6142,265,1865.7984777720117,1028136,1993.144525168656,1690445,-127.34604739664418,1028136,-1690445,True
2013-12-01,13065,2.37802361099645,6818,252,2086.4294605809127,216639,2191.4462886122637,216627,-105.01682803135085,111803,-111821,False
2014-06-01,12641,2.3934976722887886,8171,284,4907.681572676727,1385153,4945.573153296267,1385195,-37.89158061953932,1383954,-1383954,True
2014-12-01,12230,2.3990525124917506,7550,379,5712.223873245218,1513366,5676.731467038831,1513361,35.492406206386995,1513079,-1513074,False
2015-06-01,11221,2.1033153079152123,6594,381,4873.839287313099,412988,4940.885665681798,413244,-67.04637836869908,398900,-399141,False
2015-12-01,12410,2.3637047484720264,5240,409,2146.0495265841223,332678,2251.042243262928,332607,-104.99271667880554,323976,-323860,True
2016-06-01,13318,2.496275530636764,6236,425,1635.8251168400423,1669389,1723.9188903965023,1669525,-88.09377355646012,1668803,-1668554,False
2016-12-01,12901,2.406511132297684,5938,371,1583.933073929961,287365,1657.7274708171205,272083,-73.79439688715954,287365,-173540,False
2017-06-01,13387,2.4483264495452186,7028,348,1469.4418116376726,422342,1500.2739202159569,227192,-30.832108578284345,422342,-145361,True
2017-12-01,12077,2.56276291435302,6234,356,1470.7024284763806,459929,1533.096141051231,459899,-62.3937125748503,448229,-434319,False
2018-06-01,10508,2.4117076952897847,10701,303,1891.7196252748304,317003,1993.836057738266,299415,-102.11643246343561,156137,-156372,True
2018-12-01,9266,2.2345966546686427,8231,334,2262.83094773368,465521,2324.151160268922,468932,-61.320212535241815,310284,-310313,True
2019-06-01,10352,1.7572875958894196,18247,300,1743.1338834951457,222116,1842.9958252427184,222077,-99.86194174757281,176986,-181286,False
2019-12-01,11162,2.3392515592515593,14723,324,1719.201690495459,459270,1788.3393579714054,459130,-69.1376674759464,256018,-255999,False
2020-06-01,13319,2.4509968197517353,9482,312,2032.0279472693032,1951017,2212.6604896421845,1960672,-180.63254237288135,1950065,-1950215,False
2020-12-01,12070,2.8025059773131753,8004,279,1753.2724097788125,1961192,1865.171628139032,1951010,-111.89921836021952,1950247,-1950073,True
2021-06-01,11189,1.9879055298076314,7153,238,2125.2832271381135,1355302,2207.7176702862785,1441561,-82.43444314816476,246065,-246063,True
2021-12-01,10244,2.1708781586189643,7007,247,748.578637922587,630813,780.5156295933366,636747,-31.93699167074963,311807,-313044,False
2022-06-01,10342,2.023652377139642,5640,220,1260.8956673790558,650414,1262.764717311055,650424,-1.8690499319992229,597381,-202164,True
