,Time,Number of Patches,Numbers of added,Numbers of removed,Patches Added,Patches Removed,New Pattern
0,2001-12-01,1,1,0,[' UPD IfStatement \n'],[],True
1,2002-06-01,4,3,0,"[' DEL MethodDeclaration \n', ' UPD ExpressionStatement \n', ' UPD MethodDeclaration \n']",[],True
2,2002-12-01,8,4,0,"[' INS ExpressionStatement TO MethodDeclaration \n', ' INS MethodDeclaration TO TypeDeclaration \n', ' UPD ReturnStatement \n', ' UPD TypeDeclaration \n']",[],True
3,2003-06-01,11,3,0,"[' DEL ExpressionStatement \n', ' UPD ForStatement \n', ' UPD VariableDeclarationStatement \n']",[],True
4,2003-12-01,12,1,0,[' UPD ThrowStatement \n'],[],True
5,2004-06-01,12,0,0,[],[],False
6,2004-12-01,15,3,0,"[' INS FieldDeclaration TO TypeDeclaration \n', ' INS VariableDeclarationStatement TO MethodDeclaration \n', ' UPD Block \n']",[],True
7,2005-06-01,15,0,0,[],[],False
8,2005-12-01,15,0,0,[],[],False
9,2006-06-01,16,1,0,[' INS IfStatement TO MethodDeclaration \n'],[],True
10,2006-12-01,16,0,0,[],[],False
11,2007-06-01,16,0,0,[],[],False
12,2007-12-01,16,0,0,[],[],False
13,2008-06-01,16,0,0,[],[],False
14,2008-12-01,19,3,0,"[' DEL FieldDeclaration \n', ' DEL IfStatement \n', ' UPD FieldDeclaration \n']",[],True
15,2009-06-01,21,2,0,"[' DEL VariableDeclarationStatement \n', ' UPD WhileStatement \n']",[],True
16,2009-12-01,22,1,0,[' INS TypeDeclaration TO TypeDeclaration \n'],[],True
17,2010-06-01,22,0,0,[],[],False
18,2010-12-01,23,1,0,[' UPD TryStatement \n'],[],True
19,2011-06-01,23,0,0,[],[],False
20,2011-12-01,26,3,0,"[' INS TryStatement TO MethodDeclaration \n', ' UPD CatchClause \n', ' UPD SwitchStatement \n']",[],True
21,2012-06-01,27,1,0,[' UPD SuperConstructorInvocation \n'],[],True
22,2012-12-01,27,0,0,[],[],False
23,2013-06-01,28,1,0,[' UPD DoStatement \n'],[],True
24,2013-12-01,28,0,0,[],[],False
25,2014-06-01,28,0,0,[],[],False
26,2014-12-01,28,0,0,[],[],False
27,2015-06-01,28,0,0,[],[],False
28,2015-12-01,28,0,0,[],[],False
29,2016-06-01,28,0,0,[],[],False
30,2016-12-01,28,0,0,[],[],False
31,2017-06-01,28,0,0,[],[],False
32,2017-12-01,28,0,0,[],[],False
33,2018-06-01,28,0,0,[],[],False
34,2018-12-01,28,0,0,[],[],False
35,2019-06-01,28,0,0,[],[],False
36,2019-12-01,29,1,0,[' INS ExpressionStatement TO Initializer \n'],[],True
37,2020-06-01,29,0,0,[],[],False
38,2020-12-01,30,1,0,[' UPD EnhancedForStatement \n'],[],True
39,2021-06-01,30,0,0,[],[],False
40,2021-12-01,30,0,0,[],[],False
41,2022-06-01,31,1,0,[' UPD EnumDeclaration \n'],[],True
