,Time,Number of Patches,Numbers of added,Numbers of removed,Patches Added,Patches Removed,New Pattern
0,2004-12-01,3,3,0,"[' UPD ExpressionStatement \n', ' UPD MethodDeclaration \n', ' UPD VariableDeclarationStatement \n']",[],True
1,2005-06-01,14,11,0,"[' DEL ExpressionStatement \n', ' INS ExpressionStatement TO MethodDeclaration \n', ' INS FieldDeclaration TO TypeDeclaration \n', ' INS IfStatement TO MethodDeclaration \n', ' INS MethodDeclaration TO AnonymousClassDeclaration \n', ' INS MethodDeclaration TO TypeDeclaration \n', ' UPD FieldDeclaration \n', ' UPD IfStatement \n', ' UPD ThrowStatement \n', ' UPD TryStatement \n', ' UPD TypeDeclaration \n']",[],True
2,2005-12-01,17,3,0,"[' DEL MethodDeclaration \n', ' UPD Block \n', ' UPD ReturnStatement \n']",[],True
3,2006-06-01,21,4,0,"[' DEL FieldDeclaration \n', ' INS VariableDeclarationStatement TO MethodDeclaration \n', ' UPD SuperConstructorInvocation \n', ' UPD WhileStatement \n']",[],True
4,2006-12-01,27,6,0,"[' DEL ThrowStatement \n', ' INS FieldDeclaration TO AnonymousClassDeclaration \n', ' INS ReturnStatement TO MethodDeclaration \n', ' INS TryStatement TO MethodDeclaration \n', ' UPD CatchClause \n', ' UPD ConstructorInvocation \n']",[],True
5,2007-06-01,27,0,0,[],[],False
6,2007-12-01,29,2,0,"[' DEL VariableDeclarationStatement \n', ' UPD EnhancedForStatement \n']",[],True
7,2008-06-01,30,1,0,[' DEL EnhancedForStatement \n'],[],True
8,2008-12-01,30,0,0,[],[],False
9,2009-06-01,31,1,0,[' DEL IfStatement \n'],[],True
10,2009-12-01,32,1,0,[' INS ExpressionStatement TO Initializer \n'],[],True
11,2010-06-01,32,0,0,[],[],False
12,2010-12-01,32,0,0,[],[],False
13,2011-06-01,35,3,0,"[' MOV MethodDeclaration TO TypeDeclaration \n', ' UPD ForStatement \n', ' UPD SwitchStatement \n']",[],True
14,2011-12-01,36,1,0,[' UPD SynchronizedStatement \n'],[],True
15,2012-06-01,36,0,0,[],[],False
16,2012-12-01,36,0,0,[],[],False
17,2013-06-01,38,2,0,"[' INS ForStatement TO MethodDeclaration \n', ' UPD DoStatement \n']",[],True
18,2013-12-01,39,1,0,[' UPD SwitchCase \n'],[],True
19,2014-06-01,39,0,0,[],[],False
20,2014-12-01,41,2,0,"[' DEL ReturnStatement \n', ' INS SuperConstructorInvocation TO MethodDeclaration \n']",[],True
21,2015-06-01,41,0,0,[],[],False
22,2015-12-01,42,1,0,[' UPD EnumDeclaration \n'],[],True
23,2016-06-01,42,0,0,[],[],False
24,2016-12-01,43,1,0,[' INS SynchronizedStatement TO MethodDeclaration \n'],[],True
25,2017-06-01,43,0,0,[],[],False
26,2017-12-01,43,0,0,[],[],False
27,2018-06-01,44,1,0,[' UPD ClassInstanceCreation \n'],[],True
28,2018-12-01,44,0,0,[],[],False
29,2019-06-01,46,2,0,"[' DEL TryStatement \n', ' UPD AssertStatement \n']",[],True
30,2019-12-01,46,0,0,[],[],False
31,2020-06-01,46,0,0,[],[],False
32,2020-12-01,46,0,0,[],[],False
33,2021-06-01,47,1,0,[' DEL SuperConstructorInvocation \n'],[],True
34,2021-12-01,47,0,0,[],[],False
35,2022-06-01,47,0,0,[],[],False
