,Patch Name,Inferred from projects,occurrence
0,VariableDeclarationStatement#8#0,wildfly-core,4
1,VariableDeclarationStatement#8#0,wildfly,2
2,VariableDeclarationStatement#8#1,camel,308
3,VariableDeclarationStatement#8#2,wildfly,3
4,VariableDeclarationStatement#8#2,wildfly-core,3
5,VariableDeclarationStatement#8#3,wildfly-core,3
6,VariableDeclarationStatement#8#3,wildfly,7
7,VariableDeclarationStatement#8#4,wildfly,1
8,VariableDeclarationStatement#8#4,camel,3
9,VariableDeclarationStatement#8#4,wildfly-core,1
10,VariableDeclarationStatement#8#4,commons-collections,1
11,VariableDeclarationStatement#8#5,spring-data-neo4j,4
12,VariableDeclarationStatement#8#6,commons-collections,1
13,VariableDeclarationStatement#8#6,camel,1
14,VariableDeclarationStatement#8#7,wildfly-core,7
15,VariableDeclarationStatement#8#7,wildfly,3
16,VariableDeclarationStatement#8#8,fuse,1
17,VariableDeclarationStatement#8#8,wildfly,1
18,VariableDeclarationStatement#8#8,spring-amqp,1
19,VariableDeclarationStatement#8#8,camel,2
20,VariableDeclarationStatement#8#8,spring-batch,1
21,VariableDeclarationStatement#8#9,camel,2
22,VariableDeclarationStatement#8#9,wildfly-core,2
23,VariableDeclarationStatement#8#9,spring-security,1
24,VariableDeclarationStatement#8#9,wildfly,3
25,VariableDeclarationStatement#8#10,spring-security,1
26,VariableDeclarationStatement#8#10,spring-batch,2
27,VariableDeclarationStatement#8#10,wildfly,1
28,VariableDeclarationStatement#8#10,camel,1
29,VariableDeclarationStatement#8#11,spring-data-neo4j,1
30,VariableDeclarationStatement#8#11,camel,1
31,VariableDeclarationStatement#8#11,fuse,1
32,VariableDeclarationStatement#8#11,spring-security,1
33,VariableDeclarationStatement#8#11,spring-webflow,1
34,VariableDeclarationStatement#8#11,spring-data-mongodb,1
35,VariableDeclarationStatement#8#12,wildfly,3
36,VariableDeclarationStatement#8#12,wildfly-core,2
37,VariableDeclarationStatement#8#12,wildfly-elytron,1
38,VariableDeclarationStatement#8#13,spring-data-neo4j,2
39,VariableDeclarationStatement#8#14,wildfly,2
40,VariableDeclarationStatement#8#14,camel,3
41,VariableDeclarationStatement#8#14,fuse,1
42,VariableDeclarationStatement#8#15,fuse,2
43,VariableDeclarationStatement#8#15,wildfly,4
44,VariableDeclarationStatement#8#16,spring-security-oauth,1
45,VariableDeclarationStatement#8#16,wildfly-maven-plugin,1
46,VariableDeclarationStatement#8#17,camel,3
47,VariableDeclarationStatement#8#18,fuse,2
48,VariableDeclarationStatement#8#18,wildfly,1
49,VariableDeclarationStatement#8#18,camel,2
50,VariableDeclarationStatement#8#18,spring-security,1
51,VariableDeclarationStatement#8#19,wildfly-core,4
52,VariableDeclarationStatement#8#20,spring-data-mongodb,2
53,VariableDeclarationStatement#8#21,camel,2
54,VariableDeclarationStatement#8#22,spring-data-mongodb,2
55,VariableDeclarationStatement#8#23,camel,2
56,VariableDeclarationStatement#8#24,camel,2
57,VariableDeclarationStatement#8#25,camel,3
58,VariableDeclarationStatement#8#26,wildfly,2
59,VariableDeclarationStatement#8#27,wildfly-core,1
60,VariableDeclarationStatement#8#27,commons-io,1
61,VariableDeclarationStatement#8#27,wildfly,1
62,VariableDeclarationStatement#8#28,spring-roo,2
63,VariableDeclarationStatement#8#29,camel,1
64,VariableDeclarationStatement#8#29,spring-security,1
65,VariableDeclarationStatement#8#30,wildfly-core,1
66,VariableDeclarationStatement#8#30,wildfly,1
67,VariableDeclarationStatement#8#31,spring-hadoop,2
68,VariableDeclarationStatement#8#32,spring-social-linkedin,1
69,VariableDeclarationStatement#8#32,spring-social-facebook,1
70,VariableDeclarationStatement#8#32,spring-social-twitter,1
71,VariableDeclarationStatement#8#32,spring-social,1
72,VariableDeclarationStatement#8#33,wildfly-core,1
