Group,Subject,Repo,GitRepo,Branch
Apache,ACCUMULO,accumulo,https://github.com/apache/accumulo.git,master
Apache,CAMEL,camel,https://github.com/apache/camel.git,master
APACHE,COMMONS,commons-cli,https://github.com/apache/commons-cli.git,master
APACHE,COMMONS,commons-codec,https://github.com/apache/commons-codec.git,master
Commons,CODEC,commons-codec,https://github.com/apache/commons-codec.git,trunk
Commons,COLLECTIONS,commons-collections,https://github.com/apache/commons-collections.git,master
Commons,COMPRESS,commons-compress,https://github.com/apache/commons-compress.git,master
Commons,CONFIGURATION,commons-configuration,https://github.com/apache/commons-configuration.git,trunk
Commons,CRYPTO,commons-crypto,https://github.com/apache/commons-crypto.git,master
APACHE,COMMONS,commons-csv,https://github.com/apache/commons-csv.git,master
Commons,IO,commons-io,https://github.com/apache/commons-io.git,master
APACHE,COMMONS,commons-jxpath,https://github.com/apache/commons-jxpath.git,master
APACHE,COMMONS,commons-lang,https://github.com/apache/commons-lang.git,master
APACHE,COMMONS,commons-math,https://github.com/apache/commons-math.git,master
Commons,WEAVER,commons-weaver,https://github.com/apache/commons-weaver.git,master
Apache,FLINK,flink,https://github.com/apache/flink.git,master
Apache,HIVE,hive,https://github.com/apache/hive.git,master
Apache,JACKRABBIT,jackrabbit-oak,https://github.com/apache/jackrabbit-oak.git,trunk
Apache,L4J,logging-log4j2,https://github.com/apache/logging-log4j2.git,master
Apache,MAVEN,maven,https://github.com/apache/maven.git,master
Apache,WICKET,wicket,https://github.com/apache/wicket.git,master
FASTERXML,JACKSON,jackson-core,https://github.com/FasterXML/jackson-core.git,master
FASTERXML,JACKSON,jackson-databind,https://github.com/FasterXML/jackson-databind.git,master
FASTERXML,JACKSON,jackson-dataformat-xml,https://github.com/FasterXML/jackson-dataformat-xml.git,master
GOOGLE,CLOUSURE,closure-compiler,https://github.com/google/closure-compiler.git,master
GOOGLE,GSON,gson,https://github.com/google/gson.git,master
JBoss,ENTESB,fuse,https://github.com/jboss-fuse/fuse.git,6.3.0.redhat
JBoss,JBMETA,metadata,https://github.com/jboss/metadata.git,master
JFREE,CHART,jfreechart,https://github.com/jfree/jfreechart.git,master
JHY,SOUP,jsoup,https://github.com/jhy/jsoup.git,master
JODA,TIME,joda-time,https://github.com/JodaOrg/joda-time.git,master
MOCKITO,MOCKITO,mockito,https://github.com/mockito/mockito.git,main
Spring,AMQP,spring-amqp,https://github.com/spring-projects/spring-amqp,master
Spring,ANDROID,spring-android,https://github.com/spring-projects/spring-android,master
Spring,BATCH,spring-batch,https://github.com/spring-projects/spring-batch,master
Spring,BATCHADM,spring-batch-admin,https://github.com/spring-projects/spring-batch-admin,master
Spring,DATACMNS,spring-data-commons,https://github.com/spring-projects/spring-data-commons,master
Spring,SGF,spring-data-gemfire,https://github.com/spring-projects/spring-data-gemfire,master
Spring,DATAJPA,spring-data-jpa,https://github.com/spring-projects/spring-data-jpa,master
Spring,DATAMONGO,spring-data-mongodb,https://github.com/spring-projects/spring-data-mongodb,master
Spring,DATAGRAPH,spring-data-neo4j,https://github.com/spring-projects/spring-data-neo4j,master
Spring,DATAREDIS,spring-data-redis,https://github.com/spring-projects/spring-data-redis,master
Spring,DATAREST,spring-data-rest,https://github.com/spring-projects/spring-data-rest,master
Spring,SHDP,spring-hadoop,https://github.com/spring-projects/spring-hadoop,master
Spring,LDAP,spring-ldap,https://github.com/spring-projects/spring-ldap,master
Spring,MOBILE,spring-mobile,https://github.com/spring-projects/spring-mobile,master
Spring,ROO,spring-roo,https://github.com/spring-projects/spring-roo,master
Spring,SEC,spring-security,https://github.com/spring-projects/spring-security,master
Spring,SECOAUTH,spring-security-oauth,https://github.com/spring-projects/spring-security-oauth,master
Spring,SHL,spring-shell,https://github.com/spring-projects/spring-shell,master
Spring,SOCIAL,spring-social,https://github.com/spring-projects/spring-social,master
Spring,SOCIALFB,spring-social-facebook,https://github.com/spring-projects/spring-social-facebook,master
Spring,SOCIALLI,spring-social-linkedin,https://github.com/spring-projects/spring-social-linkedin,master
Spring,SOCIALTW,spring-social-twitter,https://github.com/spring-projects/spring-social-twitter,master
Spring,SWF,spring-webflow,https://github.com/spring-projects/spring-webflow,master
Spring,SWS,spring-ws,https://github.com/spring-projects/spring-ws,master
Wildfly,ELY,wildfly-elytron,https://github.com/wildfly-security/wildfly-elytron.git,master
Wildfly,SWARM,wildfly-swarm,https://github.com/wildfly-swarm/wildfly-swarm.git,master
Wildfly,WFARQ,wildfly-arquillian,https://github.com/wildfly/wildfly-arquillian.git,master
Wildfly,WFCORE,wildfly-core,https://github.com/wildfly/wildfly-core.git,master
Wildfly,WFMP,wildfly-maven-plugin,https://github.com/wildfly/wildfly-maven-plugin.git,master
Wildfly,WFLY,wildfly,https://github.com/wildfly/wildfly.git,master
