Group,Subject,Repo,GitRepo,Branch
JFREE,CHART,jfreechart,https://github.com/jfree/jfreechart.git,master
APACHE,COMMONS,commons-cli,https://github.com/apache/commons-cli.git,master
GOOGLE,CLOUSURE,closure-compiler,https://github.com/google/closure-compiler.git,master
APACHE,COMMONS,commons-codec,https://github.com/apache/commons-codec.git,master
APACHE,COMMONS,commons-collections,https://github.com/apache/commons-collections.git,master
APACHE,COMMONS,commons-compress,https://github.com/apache/commons-compress.git,master
APACHE,COMMONS,commons-csv,https://github.com/apache/commons-csv.git,master
GOOGLE,GSON,gson,https://github.com/google/gson.git,master
FASTERXML,JACKSON,jackson-core,https://github.com/FasterXML/jackson-core.git,master
FASTERXML,JACKSON,jackson-databind,https://github.com/FasterXML/jackson-databind.git,master
FASTERXML,JACKSON,jackson-dataformat-xml,https://github.com/FasterXML/jackson-dataformat-xml.git,master
JHY,SOUP,jsoup,https://github.com/jhy/jsoup.git,master
APACHE,COMMONS,commons-jxpath,https://github.com/apache/commons-jxpath.git,master
APACHE,COMMONS,commons-lang,https://github.com/apache/commons-lang.git,master
APACHE,COMMONS,commons-math,https://github.com/apache/commons-math.git,master
MOCKITO,MOCKITO,mockito,https://github.com/mockito/mockito.git,main
JODA,TIME,joda-time,https://github.com/JodaOrg/joda-time.git,master
